,Flight,Demand_sum,Demand_served,Surplus demand
0,LX0006420020920ZRHMIAF,94.7422000000001,78.53367342707183,16.208526572928264
1,LX0006420020920ZRHMIAC,68.09380000000009,30.000000001656794,38.09379999834329
2,LX0006420020920ZRHMIAY,122.01479999999997,103.60779888847448,18.40700111152549
3,LX0009520020919EZEGRUF,157.16510000000054,107.3930473393143,49.77205266068624
4,LX0009520020919EZEGRUC,97.55180000000017,80.5752592093228,16.976540790677376
5,LX0009520020919EZEGRUY,153.93350000000052,111.4047465859329,42.52875341406762
6,LX0009520020919GRUZRHF,54.208100000000044,40.858349809992916,13.349750190007128
7,LX0009520020919GRUZRHC,81.41279999999999,61.569410295497015,19.843389704502975
8,LX0009520020919GRUZRHY,73.34219999999996,51.78831897285118,21.553881027148783
9,LX0015520020920BOMZRHF,48.30350000000006,44.75831623901879,3.545183760981267
10,LX0015520020920BOMZRHC,14.912799999999997,11.565733098601548,3.347066901398449
11,LX0015520020920BOMZRHY,17.689700000000006,13.117645631544772,4.572054368455234
12,LX0016820020920ZRHNRTF,41.5686000000001,32.69119293346844,8.87740706653166
13,LX0016820020920ZRHNRTC,20.399299999999997,16.430526604231794,3.9687733957682028
14,LX0016820020920ZRHNRTY,20.27620000000001,18.430242528959788,1.8459574710402222
15,LX0024720020920KHIDXBF,78.42940000000013,57.1904869295953,21.238913070404827
16,LX0024720020920KHIDXBC,84.88710000000005,73.9340921622137,10.953007837786345
17,LX0024720020920KHIDXBY,50.39959999999998,47.519591930679844,2.8800080693201338
18,LX0024720020920DXBZRHF,90.03000000000009,65.05259770839773,24.97740229160236
19,LX0024720020920DXBZRHC,17.519699999999997,15.150690808780835,2.3690091912191615
20,LX0024720020920DXBZRHY,60.01659999999999,41.37823693869766,18.63836306130233
21,LX0025720020920TLVZRHC,16.1991,15.92251108361351,0.2765889163864905
22,LX0025720020920TLVZRHY,25.21869999999999,17.32163966080722,7.89706033919277
23,LX0039820020920ZRHJERC,31.613899999999994,23.94489946605895,7.669000533941045
24,LX0039820020920ZRHJERY,29.130199999999988,19.425779170144715,9.704420829855273
25,LX0039820020920JERGCIC,12.516199999999987,10.176577091003777,2.33962290899621
26,LX0039820020920JERGCIY,17.8161,17.81610000071428,-7.142801905501983e-10
27,LX0039820020920GCIZRHC,16.30589999999999,15.176774257566708,1.129125742433283
28,LX0039820020920GCIZRHY,22.03080000000002,18.021847198518266,4.008952801481755
29,LX0048520020920LCYBSLC,10.560099999999998,9.000000000232536,1.5600999997674627
30,LX0048520020920LCYBSLY,39.169999999999995,38.681525044336965,0.4884749556630297
31,LX0056220020920ZRHNCEC,3.8200999999999996,3.3713512760008313,0.4487487239991683
32,LX0056220020920ZRHNCEY,8.265099999999997,6.81009013414583,1.4550098658541666
33,LX0064720020920CDGZRHC,10.646500000000003,9.319622863370935,1.3268771366290686
34,LX0064720020920CDGZRHY,13.009299999999996,10.106684181314973,2.902615818685023
35,LX0077120020920BRUZRHC,12.899100000000006,10.114132860647869,2.784967139352137
36,LX0077120020920BRUZRHY,16.61559999999999,13.457239845242832,3.1583601547571583
37,LX0108120020920FRAZRHC,6.444999999999998,5.3067711887134505,1.138228811286547
38,LX0108120020920FRAZRHY,10.390100000000004,9.577697389917214,0.8124026100827901
39,LX0130520020920OSLZRHC,19.638199999999994,19.464640822942158,0.17355917705783597
40,LX0130520020920OSLZRHY,1.9362000000000004,1.7697730796314204,0.16642692036857998
41,LX0132620020920ZRHDMEC,2.9558000000000004,2.7800645487134723,0.17573545128652812
42,LX0132620020920ZRHDMEY,11.132399999999997,5.258008926505103,5.874391073494894
43,LX0148620020920ZRHPRGC,1.6552,1.4563826161476043,0.19881738385239567
44,LX0148620020920ZRHPRGY,6.700800000000001,6.211526822356439,0.48927317764356193
45,LX0280520020920GVAZRHC,4.274199999999999,4.168381004965577,0.10581899503442127
46,LX0280520020920GVAZRHY,3.495000000000001,3.077797689752761,0.41720231024723997
47,LX0280720020920GVAZRHC,2.0469999999999993,1.587603414763905,0.45939658523609417
48,LX0280720020920GVAZRHY,2.5311999999999997,1.9647655766278544,0.5664344233721452
49,LX0413020020920ZRHBUDC,5.414400000000003,4.990371311071126,0.42402868892887735
50,LX0413020020920ZRHBUDY,1.9819999999999998,1.9447038404059096,0.03729615959409016
51,LX0424220020920ZRHCMBC,4.6991000000000005,4.124660106954209,0.5744398930457919
52,LX0424220020920ZRHCMBY,0.6499,0.27233635246178733,0.3775636475382127
