7000,6361
8000,8876
9000,5536
6000,5921
5000,6674
4000,5756
-1,15525
264000,5
71000,534
43000,2492
27000,4525
1000,14806
24000,5281
67000,686
30000,6561
16000,5827
64000,780
33000,3948
2000,6789
3000,5829
51000,1543
13000,6088
35000,4002
52000,1571
15000,8522
38000,3102
62000,867
23000,5133
25000,7942
83000,274
98000,124
86000,227
-2,8604
28000,4604
49000,1875
10000,12091
12000,6056
39000,2985
18000,5701
118000,72
29000,4358
19000,5366
0,12807
69000,589
58000,1172
37000,3152
122000,42
55000,1448
36000,3366
117000,63
53000,1433
41000,2681
34000,3664
45000,2708
21000,5600
263000,9
79000,325
3168000,1
88000,233
157000,23
127000,47
150000,94
22000,5603
48000,2101
50000,2930
61000,958
42000,2615
77000,355
63000,834
93000,163
11000,5951
57000,1164
171000,13
20000,7891
60000,1399
32000,4193
59000,999
26000,4641
14000,6298
40000,3935
115000,74
56000,1176
17000,5575
92000,178
81000,307
46000,2160
95000,184
47000,2051
54000,1303
1287000,2
82000,301
472000,2
84000,246
66000,702
44000,2358
31000,4100
123000,48
70000,783
72000,517
65000,843
89000,204
94000,193
102000,101
1116000,1
101000,116
80000,511
87000,203
108000,78
190000,19
112000,75
124000,38
76000,399
158000,20
3196000,1
203000,9
97000,135
75000,526
141000,46
106000,81
90000,323
104000,109
151000,29
78000,382
134000,39
3482000,1
85000,280
68000,621
100000,312
96000,144
882000,1
119000,53
3702000,2
205000,7
191000,9
135000,42
116000,75
169000,12
147000,25
110000,133
1582000,2
1100000,2
126000,52
565000,3
120000,83
172000,9
210000,11
343000,4
413000,5
125000,65
129000,49
2362000,1
144000,22
342000,5
211000,11
177000,18
241000,7
312000,5
139000,28
386000,3
546000,5
160000,33
300000,11
218000,7
74000,444
148000,31
850000,4
91000,178
161000,12
73000,439
103000,96
1836000,2
1685000,2
1366000,1
1157000,1
250000,23
107000,79
109000,77
353000,4
262000,5
152000,18
111000,78
3924000,1
99000,162
184000,7
876000,3
174000,12
1333000,1
142000,18
1717000,1
105000,100
201000,14
3892000,1
173000,18
200000,20
808000,5
2952000,1
128000,49
1636000,3
812000,1
797000,2
4202000,1
136000,39
491000,3
679000,2
204000,15
1630000,1
338000,6
360000,6
983000,2
232000,5
1175000,4
140000,39
3758000,1
724000,1
749000,1
436000,5
1707000,1
1417000,1
1255000,1
133000,48
552000,2
252000,9
927000,1
452000,3
1190000,2
266000,5
628000,1
3160000,1
114000,64
677000,2
276000,9
3966000,1
186000,12
4999,1
3005000,1
1646000,1
1283000,1
113000,61
339000,4
748000,2
303000,5
1530000,1
869000,1
853000,1
1714000,1
6549000,1
1514000,1
145000,34
688000,1
194000,13
478000,3
609000,4
659000,1
614000,2
1473000,2
1887000,1
638000,2
143000,24
692000,1
587000,3
1088000,1
2098000,2
906000,1
305000,5
373000,4
155000,22
3646000,1
213000,7
1641000,1
1343000,9
605000,2
196000,8
634000,1
1622000,2
202000,14
390000,7
409000,2
2284000,1
309000,2
377000,3
505000,2
132000,46
149000,21
137000,25
368000,3
886000,2
1939000,1
1986000,2
230000,11
1163000,1
246000,7
270000,9
527000,3
121000,57
153000,20
4110000,1
975000,1
350000,10
573000,3
255000,5
359000,2
253000,7
154000,23
235000,6
476000,1
523000,1
844000,1
275000,7
1060000,1
1056000,1
6086000,1
102928000,1
772000,1
10516000,1
471000,3
2240000,2
2267000,1
292000,3
2492000,1
10508000,2
2110000,1
1178000,2
3270000,1
863000,2
602000,3
179000,16
2582000,1
267000,5
138000,36
293000,4
220000,18
247000,6
463000,3
378000,5
290000,5
1152000,1
2227000,1
477000,3
351000,6
570000,2
9980000,1
192000,5
976000,1
288000,4
1134000,4
164000,15
185000,10
383000,2
148999,1
1095000,1
207000,13
803000,1
1256000,1
1115000,2
398000,4
347000,2
620000,1
596000,4
414000,3
